alert_id,fecha_alerta,id_cliente,provincia,bloque_analitico,categoria_h,familia,familia_comercial,tipo_alerta,motivo,segment_or_pattern,loyalty_tier,trend,prioridad,score,expected_impact_eur,urgency_factor,conversion_probability,canal_recomendado,contact_window_days,trace_features,holiday_period,campaign_active,campaign_name
ALT-20251229-000001,2025-12-29,27995,Las Palmas,Productos Técnicos,Categoria T1,Familia T1,Biomateriales (técnicos),silent,"Cliente sistemático silencioso: ~€35,940/año en histórico, sin compra 207d",systematic_silent,,declining,High,22613.372224007588,35940.38120995671,0.9260273972602739,0.6794520547945205,delegado,7,"{""pattern"": ""systematic_silent"", ""trend"": ""declining"", ""recency_days"": 207.0, ""frequency_recent"": 0, ""frequency_baseline"": 3, ""volume_recent"": 0.0, ""expected_vol_recent"": 4517.5494, ""mean_interpurchase_days"": 57.75, ""lifetime_volume"": 45491.660599999996, ""conversion_probability"": 0.6794520547945205}",True,False,
ALT-20251229-000002,2025-12-29,1000077135,Madrid,Productos Técnicos,Categoria T1,Familia T1,Biomateriales (técnicos),silent,"Cliente sistemático silencioso: ~€29,790/año en histórico, sin compra 189d",systematic_silent,,declining,High,21174.947808443292,29790.407427767357,0.9753424657534246,0.7287671232876712,delegado,7,"{""pattern"": ""systematic_silent"", ""trend"": ""declining"", ""recency_days"": 189.0, ""frequency_recent"": 0, ""frequency_baseline"": 3, ""volume_recent"": 0.0, ""expected_vol_recent"": 6341.920800000001, ""mean_interpurchase_days"": 32.63265306122449, ""lifetime_volume"": 130506.4698, ""conversion_probability"": 0.7287671232876712}",True,False,
ALT-20251229-000003,2025-12-29,1000101040,Almería,Productos Técnicos,Categoria T1,Familia T1,Biomateriales (técnicos),silent,"Cliente sistemático silencioso: ~€21,277/año en histórico, sin compra 98d",systematic_silent,,declining,High,20810.90747076923,21277.25833846154,1.0,0.9780821917808219,delegado,7,"{""pattern"": ""systematic_silent"", ""trend"": ""declining"", ""recency_days"": 98.0, ""frequency_recent"": 0, ""frequency_baseline"": 3, ""volume_recent"": 0.0, ""expected_vol_recent"": 2480.1387054545457, ""mean_interpurchase_days"": 65.0, ""lifetime_volume"": 7578.2016, ""conversion_probability"": 0.9780821917808219}",True,False,
ALT-20251229-000004,2025-12-29,1000077135,Madrid,Productos Técnicos,Categoria T1,Familia T2,Biomateriales (técnicos),silent,"Cliente sistemático silencioso: ~€29,087/año en histórico, sin compra 189d",systematic_silent,,declining,High,20675.0848718449,29087.165055034395,0.9753424657534246,0.7287671232876712,delegado,7,"{""pattern"": ""systematic_silent"", ""trend"": ""declining"", ""recency_days"": 189.0, ""frequency_recent"": 0, ""frequency_baseline"": 2, ""volume_recent"": 0.0, ""expected_vol_recent"": 2543.1174, ""mean_interpurchase_days"": 23.17391304347826, ""lifetime_volume"": 127425.6902, ""conversion_probability"": 0.7287671232876712}",True,False,
ALT-20251229-000005,2025-12-29,1000081983,Cantabria,Productos Técnicos,Categoria T1,Familia T1,Biomateriales (técnicos),churn_risk,"Cliente sistemático deteriorándose: €4,702 vs esperado €13,923",systematic_deterioration,,declining,High,19271.534282,36883.3192,0.95,0.55,delegado,7,"{""pattern"": ""systematic_deterioration"", ""trend"": ""declining"", ""recency_days"": 31.0, ""frequency_recent"": 1, ""frequency_baseline"": 5, ""volume_recent"": 4702.4012, ""expected_vol_recent"": 13923.231, ""mean_interpurchase_days"": 65.76923076923077, ""lifetime_volume"": 152953.4192, ""conversion_probability"": 0.55}",True,False,
ALT-20251229-000006,2025-12-29,1000100513,Las Palmas,Productos Técnicos,Categoria T1,Familia T1,Biomateriales (técnicos),silent,"Cliente sistemático silencioso: ~€18,700/año en histórico, sin compra 95d",systematic_silent,,declining,High,18444.16401342282,18700.332958053692,1.0,0.9863013698630136,delegado,7,"{""pattern"": ""systematic_silent"", ""trend"": ""declining"", ""recency_days"": 95.0, ""frequency_recent"": 0, ""frequency_baseline"": 3, ""volume_recent"": 0.0, ""expected_vol_recent"": 6073.454225454545, ""mean_interpurchase_days"": 85.14285714285714, ""lifetime_volume"": 30535.338200000002, ""conversion_probability"": 0.9863013698630136}",True,False,
ALT-20251229-000007,2025-12-29,36639,Barcelona,Productos Técnicos,Categoria T1,Familia T1,Biomateriales (técnicos),churn_risk,"Cliente sistemático deteriorándose: €5,546 vs esperado €14,370",systematic_deterioration,,declining,High,18442.743528000003,35297.1168,0.95,0.55,delegado,7,"{""pattern"": ""systematic_deterioration"", ""trend"": ""declining"", ""recency_days"": 35.0, ""frequency_recent"": 3, ""frequency_baseline"": 8, ""volume_recent"": 5545.5854, ""expected_vol_recent"": 14369.8646, ""mean_interpurchase_days"": 21.202380952380953, ""lifetime_volume"": 205767.9994, ""conversion_probability"": 0.55}",True,False,
ALT-20251229-000008,2025-12-29,6716,Ciudad Real,Productos Técnicos,Categoria T1,Familia T1,Biomateriales (técnicos),churn_risk,"Cliente sistemático deteriorándose: €1,679 vs esperado €8,880",systematic_deterioration,,declining,High,15051.454351999999,28806.6112,0.95,0.55,delegado,7,"{""pattern"": ""systematic_deterioration"", ""trend"": ""declining"", ""recency_days"": 39.0, ""frequency_recent"": 1, ""frequency_baseline"": 6, ""volume_recent"": 1678.5812000000003, ""expected_vol_recent"": 8880.234, ""mean_interpurchase_days"": 58.0, ""lifetime_volume"": 62228.488600000004, ""conversion_probability"": 0.55}",True,False,
ALT-20251229-000009,2025-12-29,1000075177,Badajoz,Productos Técnicos,Categoria T1,Familia T1,Biomateriales (técnicos),churn_risk,"Cliente sistemático deteriorándose: €5,902 vs esperado €12,945",systematic_deterioration,,declining,High,14721.618076000004,28175.345600000004,0.95,0.55,delegado,7,"{""pattern"": ""systematic_deterioration"", ""trend"": ""declining"", ""recency_days"": 46.0, ""frequency_recent"": 3, ""frequency_baseline"": 14, ""volume_recent"": 5901.63, ""expected_vol_recent"": 12945.466400000001, ""mean_interpurchase_days"": 19.8876404494382, ""lifetime_volume"": 122968.0206, ""conversion_probability"": 0.55}",True,False,
ALT-20251229-000010,2025-12-29,26919,León,Productos Técnicos,Categoria T1,Familia T1,Biomateriales (técnicos),silent,"Cliente sistemático silencioso: ~€15,002/año en histórico, sin compra 111d",systematic_silent,,declining,High,14138.895532102442,15002.025782608696,1.0,0.9424657534246575,delegado,7,"{""pattern"": ""systematic_silent"", ""trend"": ""declining"", ""recency_days"": 111.0, ""frequency_recent"": 0, ""frequency_baseline"": 4, ""volume_recent"": 0.0, ""expected_vol_recent"": 3795.8518000000004, ""mean_interpurchase_days"": 55.96666666666667, ""lifetime_volume"": 69009.3186, ""conversion_probability"": 0.9424657534246575}",True,False,
